player_id,form_a,period_a,club_a,n_a,ar_a,form_b,period_b,club_b,n_b,ar_b,leagues,similarity,shared_clubs,match_cooccur,cooccur_rate_pct,unique_pid_both_sides,decision
463524,Ahmed Shami,2024-03-29..2024-11-23,Al-Raed,19,أحمد شامي,Omar Shami,2024-03-29..2024-11-23,Al-Raed,19,عمر شامي,SAU,0.667,Al-Raed,19/19,100.0,True,
27539,D. Flores,2025-08-30..2026-02-01,Al Najma,17,ديلان فلوريس,Deybi Flores,2025-08-30..2026-02-01,Al Najma,17,ديبي فلوريس,SAU,0.762,Al Najma,17/17,100.0,True,
543009,Mohammed Al Rubaie,2025-11-07..2026-03-14,Al-Hilal Saudi FC,17,محمد الربيعي,Mohammed Al Yami,2025-08-29..2026-08-14,Al-Hilal Saudi FC,40,محمد اليامي,SAU,0.824,Al-Hilal Saudi FC,17/17,100.0,False,
1617,Ahmad Hassan,2025-09-18..2026-05-21,Al-Ettifaq,16,أحمد حسن,Kouka,2025-09-18..2026-05-21,Al-Ettifaq,16,أحمد حسن كوكا,SAU,0.118,Al-Ettifaq,16/16,100.0,False,
88742,O. Barry,2025-02-08..2025-05-26,Al Okhdood,16,عثمان باري,Pato,2025-02-08..2025-05-26,Al Okhdood,16,باتو,SAU,0.167,Al Okhdood,16/16,100.0,False,
325165,Roger,2025-11-01..2026-04-29,Al-Ittihad FC,15,روجر جويديس,Roger Fernandes,2025-11-01..2026-04-29,Al-Ittihad FC,15,روجر فرنانديش,SAU,0.5,Al-Ittihad FC,15/15,100.0,True,
44559,Ahmad Al Hbeab,2023-08-14..2023-12-29,Abha,15,أحمد الحبيب,Ahmad Jamal,2023-08-14..2023-12-29,Abha,15,أحمد جمال,SAU,0.64,Abha,15/15,100.0,True,
626179,F. Al Hamad,2025-12-29..2026-05-02,Al-Fateh,14,فواز الحماد,Fawaz Al-Hamad,2025-12-29..2026-05-02,Al-Fateh,14,فواز الحمد,SAU,0.72,Al-Fateh,14/14,100.0,True,
384473,M. Doumbia,2025-09-12..2026-03-06,Al-Ittihad FC,14,محمد دومبيا,Mahamadou Doumbia,2025-09-12..2026-03-06,Al-Ittihad FC,14,ماهامادو دومبيا,SAU,0.667,Al-Ittihad FC,14/14,100.0,True,
406399,Matheus Machado,2025-02-01..2025-05-26,Al-Fateh,14,ماتيوس ماتشادو,Matheus Machado Ferreira,2025-02-01..2025-05-26,Al-Fateh,14,ماتيوس ماتشادو فيريرا,SAU,0.769,Al-Fateh,14/14,100.0,True,
326651,Abdulkarim Al Sulaima,2023-08-12..2023-12-02,Al Taee,14,عبدالكريم السليمان,Abdulkarim Sultan,2023-08-12..2023-12-02,Al Taee,14,عبدالكريم سلطان,SAU,0.789,Al Taee,14/14,100.0,True,
39245,I. Koné,2024-09-13..2025-01-31,Al Okhdood,14,إبراهيما كونيه,Ibrahima Kone,2024-09-13..2025-01-31,Al Okhdood,14,إبراهيما كوني,SAU,0.5,Al Okhdood,14/14,100.0,False,
119780,B. Kramer,2025-08-30..2026-01-16,Al Okhdood,13,بارت كرامر,Blaž Kramer,2025-08-30..2026-01-16,Al Okhdood,13,بلاش كرامر,SAU,0.8,Al Okhdood,13/13,100.0,True,
576195,A. Al Khaibari,2025-09-27..2026-05-15,Al-Fayha,14,عبد الملك الخيبري,Ammar Al-Khaibari,2025-10-17..2026-05-15,Al-Fayha,13,عمار الخيبري,SAU,0.774,Al-Fayha,13/13,100.0,False,
18805,A. Doucoure,2025-08-28..2026-04-11,NEOM,13,عبد الله دوكوري,Abdoulaye Doucoure,2025-09-18..2026-04-11,NEOM,12,عبدولاي دوكوري,SAU,0.69,NEOM,12/12,100.0,True,
26779,Gonçalo Rodrigues,2026-02-01..2026-05-14,Al Najma,12,غونسالو رودريغيش,Guga,2026-02-01..2026-05-14,Al Najma,18,جوجا,SAU,0.19,Al Najma,12/12,100.0,False,
613458,Yasir Shammari,2025-11-08..2026-09-08,Al-Ettifaq,22,ياسر الشمري,Yousef Al Shammari,2025-11-08..2026-08-22,Al-Ettifaq,12,يوسف ال الشمري,SAU,0.688,Al-Ettifaq,12/12,100.0,False,
640926,R. Jaman,2026-02-14..2026-05-21,Al Kholood,11,راكان جمان,Rakan Abdulrahman bin Jaman,2026-02-14..2026-08-29,Al Kholood,13,راكان عبد الرحمن بن جمعان,SAU,0.4,Al Kholood,11/11,100.0,True,
140894,Y. Oumarou,2026-02-05..2026-05-21,Al-Hazm,11,يوسف أومارو,Youssouf Oumarou,2026-02-05..2026-05-21,Al-Hazm,11,يوسف عمارو,SAU,0.692,Al-Hazm,11/11,100.0,True,
197964,Turki Al-Mutairi,2023-08-11..2023-11-25,Al-Hazm,11,تركي المطيري,Turki Fahad Al Mutairi,2023-08-11..2023-11-25,Al-Hazm,11,تركي فهد ال المطيري,SAU,0.789,Al-Hazm,11/11,100.0,True,
488512,Ambrose Ochigbo,2025-02-01..2025-05-17,Al Kholood,9,أمبروز أوتشيغبو,O. Ambrose,2025-02-01..2025-05-17,Al Kholood,9,أمبروز أوشيغبو,SAU,0.56,Al Kholood,9/9,100.0,True,
28339,T. Nguen,2026-01-21..2026-05-21,Al Okhdood,13,توكومات نغوين,Tokmac Nguen,2026-01-21..2026-03-07,Al Okhdood,8,توكماك نغوين,SAU,0.7,Al Okhdood,8/8,100.0,True,
576262,I. Barabaa,2025-12-26..2026-02-07,Al Kholood,7,إبراهيم بارباع,Ibrahem Barabaa,2025-12-26..2026-08-29,Al Kholood,9,إبراهيم بورباع,SAU,0.72,Al Kholood,7/7,100.0,True,
28339,T. Nguen,2026-01-21..2026-05-21,Al Okhdood,13,توكومات نغوين,Tokmac Chol Nguen,2026-04-30..2026-05-21,Al Okhdood,5,توكماك تشول نغوين,SAU,0.56,Al Okhdood,5/5,100.0,True,
3243,J. Seri,2024-08-28..2024-10-05,Al Orubah,5,جان ميشيل سيري,Jean Michaël Seri,2024-08-28..2024-10-05,Al Orubah,5,جان مايكل سيري,SAU,0.5,Al Orubah,5/5,100.0,True,
354663,David,2025-09-18..2025-10-30,Damac,4,ديفيد,David Kaiki,2025-08-28..2026-05-21,Damac,23,ديفيد كايكي,SAU,0.625,Damac,4/4,100.0,True,
584515,A. Al Zaid,2025-12-31..2026-09-03,"Al Diriyah, Al-Hilal Saudi FC",4,عبدالله الزيد,Abdulla Zaid,2025-12-31..2026-04-08,Al-Hilal Saudi FC,3,عبدالله زيد,SAU,0.636,Al-Hilal Saudi FC,3/3,100.0,True,
1856,S. Milinkovic-Savic,2026-08-28..2026-09-01,Al-Hilal Saudi FC,2,سيرغي ميلينكوفيتش-سافيتش,Sergej Milinković-Savić,2023-08-19..2026-09-07,Al-Hilal Saudi FC,198,سيرجي ميلينكوفيتش-سافيتش,SAU,0.762,Al-Hilal Saudi FC,2/2,100.0,True,
420243,Hassan Abdulkareem,2026-02-02..2026-04-03,Al-Nassr,2,حسن عبد الكريم,Hayder Abdulkareem,2026-02-02..2026-09-09,Al-Nassr,4,حيدر عبد الكريم,SAU,0.778,Al-Nassr,2/2,100.0,True,
531421,S. Haroun,2025-12-31..2026-02-05,Al-Hilal Saudi FC,2,صقر هارون,Saud Haroun,2025-12-31..2026-02-05,"Al Riyadh, Al-Hilal Saudi FC",5,سعود هارون,SAU,0.8,Al-Hilal Saudi FC,2/2,100.0,False,
44443,Faisal Al Ghamdi,2026-08-13..2026-08-28,Abha,2,فيصل الغامدي,Feras Al Ghamdi,2023-08-14..2026-09-09,"Abha, Al-Raed",76,فراس الغامدي,SAU,0.839,Abha,2/2,100.0,False,
44330,M. Al Dawsari,2026-08-13..2026-08-13,Abha,1,متعب الدوسري,Mohammed Al Dossari,2023-08-14..2026-08-25,"Abha, Al-Raed",107,محمد الدوسري,SAU,0.625,Abha,1/1,100.0,False,
302051,S. Cisse,2026-09-03..2026-09-03,Al Kholood,1,سيكو سيسيه,Seydouba Cisse,2026-08-15..2026-09-03,Al Kholood,9,سيدوبا سيسيه,SAU,0.636,Al Kholood,1/1,100.0,False,
662673,A. Al-Suwailem,2026-05-21..2026-05-21,Al-Fateh,1,عبدالعزيز السويلم,Abdulaziz Al Suwailem,2026-05-21..2026-09-09,Al-Fateh,10,عبد العزيز السويلم,SAU,0.686,Al-Fateh,1/1,100.0,True,
48563,A. Pululu,2026-08-13..2026-08-13,Al-Hazm,1,فابريس بولولو,Afimico Pululu,2026-08-13..2026-09-08,Al-Hazm,11,أفيميكو بولولو,SAU,0.696,Al-Hazm,1/1,100.0,True,
542833,W. Nabhan,2026-08-21..2026-09-01,Masr,3,وليد نبهان,W. Nazih,2026-08-21..2026-08-21,Masr,1,وسيم نزيه,EGY,0.706,Masr,1/1,100.0,True,
576169,H. Al Shurafa,2026-08-28..2026-08-28,Al Riyadh,1,حسام الشرفا,Hussain Al-Shurafa,2026-08-14..2026-08-28,Al Riyadh,7,حسين الشرفاء,SAU,0.71,Al Riyadh,1/1,100.0,True,
662673,A. Al Suwailem,2026-08-22..2026-08-22,Al-Fateh,1,عبدالعزيز السويلم,Abdulaziz Al Suwailem,2026-05-21..2026-09-09,Al-Fateh,10,عبد العزيز السويلم,SAU,0.743,Al-Fateh,1/1,100.0,True,
442479,Saleh Al Shehri,2026-09-09..2026-09-09,Al Kholood,1,صالح الشهري,Sultan Al Shehri,2024-09-15..2026-09-09,Al Kholood,86,سلطان الشهري,SAU,0.774,Al Kholood,1/1,100.0,False,
44300,Mohammed Al Shanqiti,2024-10-25..2026-08-30,"Al Orubah, Al-Faisaly FC, Al-Qadisiyah FC",35,محمد الشنقيطي,Muhannad Al Shanqiti,2026-08-21..2026-08-21,Al-Faisaly FC,1,مهند الشنقيطي,SAU,0.8,Al-Faisaly FC,1/1,100.0,False,
630779,K. Boumedmed,2026-08-13..2026-08-13,Abha,1,كامل بومديمد,Kamil Boumedmed,2026-08-13..2026-09-09,Abha,7,كامل بومدمد,SAU,0.815,Abha,1/1,100.0,True,
431655,A. Al Mhemaid,2026-08-21..2026-08-21,Al-Faisaly FC,1,أحمد المهيميد,Ahmad Al Mhemaid,2023-08-11..2026-08-30,"Al-Faisaly FC, Al-Hazm",65,أحمد المحيميد,SAU,0.828,Al-Faisaly FC,1/1,100.0,True,
8627,T. Bongonda,2026-08-21..2026-08-21,Al-Faisaly FC,1,تيوفان بونغوندا,Théo Bongonda,2026-08-14..2026-08-30,Al-Faisaly FC,7,تيو بونغوندا,SAU,0.833,Al-Faisaly FC,1/1,100.0,True,
2990,I. Gueye,2026-08-13..2026-09-09,Al Diriyah,5,إدريسا غي,Idrissa Gana Gueye,2026-08-21..2026-08-29,Al Diriyah,6,إدريسا غانا غاي,SAU,0.538,Al Diriyah,0/3,0.0,False,
302051,S. Cissé,2026-09-09..2026-09-09,Al Kholood,2,سيكو سيسيه,Seydouba Cisse,2026-08-15..2026-09-03,Al Kholood,9,سيدوبا سيسيه,SAU,0.545,Al Kholood,0/1,0.0,True,
327518,Abdullah Saeed,2023-08-14..2023-09-21,Al Shabab,3,عبدالله معتوق,Majed Abdullah,2025-08-29..2026-02-01,Al Shabab,18,ماجد عبدالله,SAU,0.571,Al Shabab,0/3,0.0,False,
41112,Francisco Trincão,2026-08-22..2026-09-01,Al-Ahli Jeddah,5,فرانسيسكو ترينكاو,Trincão,2026-09-04..2026-09-08,Al-Ahli Jeddah,4,ترينكاو,SAU,0.583,Al-Ahli Jeddah,0/2,0.0,True,
593759,A. Al Haji,2026-02-06..2026-05-21,NEOM,15,عباس الحاجي,Ala'a Al-Hejji,2026-08-14..2026-09-03,NEOM,3,علاء حجي,SAU,0.583,NEOM,0/3,0.0,False,
584515,A. Al Zaid,2025-12-31..2026-09-03,"Al Diriyah, Al-Hilal Saudi FC",4,عبدالله الزيد,Abdullah Zaid,2026-08-21..2026-08-29,Al Diriyah,6,عبدالله زيد,SAU,0.609,Al Diriyah,0/3,0.0,True,
44746,Abdulaziz Al Elewai,2026-09-03..2026-09-03,Al Kholood,1,عبد العزيز العليوة,Abdullah Al Rashidi,2024-08-24..2024-12-06,Al Kholood,12,عبدالله الرشيدي,SAU,0.632,Al Kholood,0/1,0.0,False,
402634,Abdulaziz Al-Awairdhi,2026-08-22..2026-08-25,Al Shabab,4,عبدالعزيز العويرضي,Abdulaziz Rahma,2023-08-14..2026-05-20,"Al Okhdood, Al Shabab, Al-Qadisiyah FC",50,عبد العزيز العويرضي,SAU,0.667,Al Shabab,0/2,0.0,True,
635802,S. Haroun,2026-01-18..2026-05-21,Al Riyadh,18,صقر هارون,Sultan Harun,2026-09-03..2026-09-03,Al-Qadisiyah FC,1,سلطان هارون,SAU,0.667,,0/1,0.0,False,
44496,Ahmed Abdoh Jaber,2023-11-10..2024-05-27,Abha,22,أحمد عبده جابر,Ahmed Abdu,2025-09-14..2026-04-11,NEOM,28,أحمد عبده,SAU,0.667,,0/22,0.0,False,
383176,Mohammed Al Yami,2025-11-21..2026-08-24,Al-Hazm,30,محمد اليامي,Mohammed Issa,2023-08-14..2026-09-08,"Al Shabab, Al-Hazm",32,محمد عيسى,SAU,0.69,Al-Hazm,0/16,0.0,False,
3335,Boubakar Kouyaté,2026-08-22..2026-08-28,Al Khaleej Saihat,5,بوبكر كوياتيه,K. Kouyaté,2026-09-03..2026-09-07,Al Khaleej Saihat,3,كوياتي,SAU,0.692,Al Khaleej Saihat,0/2,0.0,True,
449250,C. Diandy,2026-08-13..2026-09-09,Al Diriyah,5,شيخ دياندي,Clayton Diandy,2026-08-21..2026-08-29,Al Diriyah,6,كلايتون دياندي,SAU,0.696,Al Diriyah,0/3,0.0,True,
383176,Mohammed Eissa Al-Yami,2025-08-28..2025-11-06,Al-Hazm,6,محمد عيسى اليامي,Mohammed Issa,2023-08-14..2026-09-08,"Al Shabab, Al-Hazm",32,محمد عيسى,SAU,0.743,Al-Hazm,0/6,0.0,True,
369413,Mohammed Bakor,2026-09-04..2026-09-08,Al-Ahli Jeddah,4,محمد سليمان,Mohammed Sulaiman Bakor,2026-04-29..2026-09-01,Al-Ahli Jeddah,11,محمد سليمان بكر,SAU,0.757,Al-Ahli Jeddah,0/2,0.0,True,
383176,Mohammed Al Yami,2025-11-21..2026-08-24,Al-Hazm,30,محمد اليامي,Mohammed Eissa Al-Yami,2025-08-28..2025-11-06,Al-Hazm,6,محمد عيسى اليامي,SAU,0.789,Al-Hazm,0/6,0.0,False,
44709,Mohammed Al Rubaie,2024-02-26..2025-10-31,Al-Hilal Saudi FC,35,محمد الربيعي,Mohammed Al Yami,2023-08-17..2026-09-07,"Al-Ahli Jeddah, Al-Hilal Saudi FC",8,محمد اليامي,SAU,0.824,Al-Hilal Saudi FC,0/4,0.0,False,
28339,Tokmac Chol Nguen,2026-04-30..2026-05-21,Al Okhdood,5,توكماك تشول نغوين,Tokmac Nguen,2026-01-21..2026-03-07,Al Okhdood,8,توكماك نغوين,SAU,0.828,Al Okhdood,0/5,0.0,True,
328403,Mohammed Al Qahtani,2023-08-14..2026-09-08,"Al Taawon, Al-Hilal Saudi FC, Al-Qadisiyah FC",170,محمد القحطاني,Mohammed Hamad Alqahtani,2026-08-30..2026-08-30,Al-Qadisiyah FC,2,محمد حمد القحطاني,SAU,0.837,Al-Qadisiyah FC,0/1,0.0,False,
328451,A. Al Shamrani,2025-10-18..2026-08-13,Al-Hazm,30,عمار الشمراني,Ahmed Al Shamrani,2026-09-05..2026-09-08,Al-Hazm,4,أحمد الشمراني,SAU,0.839,Al-Hazm,0/2,0.0,True,
402634,Abdulaziz Al Awardi,2023-08-14..2026-08-13,"Al Okhdood, Al Shabab, Al-Qadisiyah FC",51,عبد العزيز العويرضي,Abdulaziz Al-Awairdhi,2026-08-22..2026-08-25,Al Shabab,4,عبدالعزيز العويرضي,SAU,0.9,Al Shabab,0/2,0.0,True,
147812,Aiman Ahmed,2023-08-14..2023-08-25,Al-Nassr,2,أيمن يحيى,Ayman Ahmed,2023-09-29..2024-05-27,Al-Nassr,19,أيمن أحمد,SAU,0.909,Al-Nassr,0/2,0.0,True,
409613,Faisal Al Subiani,2024-03-02..2026-09-09,"Abha, Al Shabab, Al-Ahli Jeddah, Damac",69,فيصل السبياني,Faisal Al-Sibyani,2024-03-02..2026-08-28,"Abha, Al Shabab, Al-Ahli Jeddah, Damac",69,فيصل الصبياني,SAU,0.824,"Abha, Al Shabab, Al-Ahli Jeddah, Damac",65/67,97.0,True,
531414,A. Al Yuhaybi,2026-02-23..2026-09-03,Al-Qadisiyah FC,12,عمار حامد اليهيبي,Amar Hamed Al Yuhaybi,2026-02-23..2026-08-30,Al-Qadisiyah FC,15,عمار اليحييبي,SAU,0.706,Al-Qadisiyah FC,11/12,91.7,True,
531443,E. Houssa,2026-01-14..2026-09-08,Al-Qadisiyah FC,26,إيمانويل هوسا,Eyad Houssa,2026-01-14..2026-08-30,Al-Qadisiyah FC,26,إياد هوساوي,SAU,0.8,Al-Qadisiyah FC,22/24,91.7,True,
494586,A. Bah,2025-08-28..2026-09-08,Al-Hazm,35,أمادو باه,Aboubacar Bah,2025-09-12..2026-08-30,Al-Hazm,36,أبو بكر باه,SAU,0.526,Al-Hazm,30/33,90.9,False,
408497,Vitor Vargas,2024-12-07..2026-09-06,"Ajman, Al Najma, Al-Jazira",31,فيتور فارغاس,Vitão,2024-11-23..2025-05-25,Al-Jazira,10,فيتاو,"SAU, UAE",0.471,Al-Jazira,8/10,80.0,True,
369413,Mohammed Sulaiman,2024-09-13..2026-09-01,Al-Ahli Jeddah,113,محمد سليمان,Mohammed Sulaiman Bakor,2026-04-29..2026-09-01,Al-Ahli Jeddah,11,محمد سليمان بكر,SAU,0.85,Al-Ahli Jeddah,7/9,77.8,True,
20704,A. Gory,2026-08-13..2026-09-09,Abha,6,أليمامي غوري,Alimami Gory,2026-08-13..2026-08-28,Abha,4,أليماني غوري,SAU,0.632,Abha,2/3,66.7,True,
431891,Abduleallah Hawsawi,2024-08-24..2026-05-21,"Al Taawon, Al-Ittihad FC",95,عبدالإله هوساوي,Abdulelah Hawsawi,2023-08-12..2025-05-26,"Al Khaleej Saihat, Al-Ittihad FC",87,عبد الإله هوساوي,SAU,0.944,Al-Ittihad FC,33/60,55.0,False,
41112,Francisco Trincão,2026-08-22..2026-09-01,Al-Ahli Jeddah,5,فرانسيسكو ترينكاو,Trincao,2026-08-13..2026-09-01,Al-Ahli Jeddah,2,ترينكاو,SAU,0.5,Al-Ahli Jeddah,1/2,50.0,True,
36857,J. Gaari,2026-08-13..2026-09-09,Abha,6,يوريان غاري,Jurien Gaari,2026-08-13..2026-08-28,Abha,6,جوريان غاري,SAU,0.7,Abha,2/4,50.0,True,
7061,K. Boateng,2026-08-22..2026-09-09,Al-Fateh,3,كينيدي بواتينغ,Kennedy Boateng,2026-08-15..2026-08-29,Al-Fateh,7,كينيدي بواتينج,SAU,0.72,Al-Fateh,1/2,50.0,True,
36902,T. Reijnders,2026-08-21..2026-09-08,Al-Qadisiyah FC,3,تيجاني رينديرز,Tijjani Reijnders,2026-08-21..2026-08-30,Al-Qadisiyah FC,5,تيجاني ريندرز,SAU,0.759,Al-Qadisiyah FC,1/2,50.0,True,
127688,J. Domingues,2026-09-03..2026-09-09,Al Kholood,3,جوناثان دومينغيز,Julien Domingues,2026-08-15..2026-09-03,Al Kholood,9,جوليان دومينغيز,SAU,0.786,Al Kholood,1/2,50.0,True,
16883,Mohammed Saleh,2022-10-18..2026-04-27,"Al Ittihad, Al-Rayyan SC",66,محمد صالح,Mojtaba Saleh,2025-08-14..2026-04-27,Al-Rayyan SC,20,محمود صالح,"EGY, QAT",0.667,Al-Rayyan SC,9/20,45.0,True,
8450,A. Seck,2026-08-21..2026-09-08,Al-Faisaly FC,5,عبدالله سيك,Abdoulaye Seck,2026-08-14..2026-08-30,Al-Faisaly FC,7,عبد الله سيك,SAU,0.571,Al-Faisaly FC,1/3,33.3,True,
19334,B. Celina,2026-08-22..2026-09-08,Al-Ettifaq,5,بيرسانت سيلينا,Bersant Celina,2026-08-14..2026-08-29,Al-Ettifaq,7,بيرسنت سيلينا,SAU,0.696,Al-Ettifaq,1/3,33.3,True,
51478,R. Abascal,2026-08-28..2026-09-07,Al Riyadh,5,رودريغو أباسكال,Rodrigo Abascal,2026-08-14..2026-08-28,Al Riyadh,5,رودريجو أباسكال,SAU,0.72,Al Riyadh,1/3,33.3,True,
325902,Abdulbasit Hawsawi,2023-08-12..2024-02-23,Damac,12,عبد الباسط هوساوي,Abdullah Al Hawsawi,2023-08-12..2026-05-20,"Al Kholood, Al Najma, Damac",75,عبدالله ال هوساوي,SAU,0.757,Damac,4/12,33.3,False,
